test_id,model,dataset,datasetSize,threads,queryName,queryType,elapsedTime,numEntities,numMachines
b402c658-34f4-4192-8ca7-8780e36d69a7,stgraph,smartbench,small,1,EnvironmentOutlier,edgesDirection,1595,8,1
b402c658-34f4-4192-8ca7-8780e36d69a7,stgraph,smartbench,small,1,AgentOutlier,edgesDirection,3572,100,1
b402c658-34f4-4192-8ca7-8780e36d69a7,stgraph,smartbench,small,1,AgentHistory,edgesDirection,20,1,1
3f4bf259-fc44-4a65-a71e-c185fec40935,stgraph,smartbench,small,1,EnvironmentCoverage,edgesDirection,1,10,1
3f4bf259-fc44-4a65-a71e-c185fec40935,stgraph,smartbench,small,1,EnvironmentAggregate,edgesDirection,1852,100,1
3f4bf259-fc44-4a65-a71e-c185fec40935,stgraph,smartbench,small,1,MaintenanceOwners,edgesDirection,1454,100,1
3f4bf259-fc44-4a65-a71e-c185fec40935,stgraph,smartbench,small,1,EnvironmentOutlier,edgesDirection,1551,8,1
3f4bf259-fc44-4a65-a71e-c185fec40935,stgraph,smartbench,small,1,AgentOutlier,edgesDirection,3565,100,1
3f4bf259-fc44-4a65-a71e-c185fec40935,stgraph,smartbench,small,1,AgentHistory,edgesDirection,18,1,1
3932b102-b685-4a48-b0dd-1a8a763c21a5,stgraph,smartbench,small,1,EnvironmentCoverage,edgesDirection,1,10,1
3932b102-b685-4a48-b0dd-1a8a763c21a5,stgraph,smartbench,small,1,EnvironmentAggregate,edgesDirection,1861,100,1
3932b102-b685-4a48-b0dd-1a8a763c21a5,stgraph,smartbench,small,1,MaintenanceOwners,edgesDirection,1480,100,1
3932b102-b685-4a48-b0dd-1a8a763c21a5,stgraph,smartbench,small,1,EnvironmentOutlier,edgesDirection,1559,8,1
3932b102-b685-4a48-b0dd-1a8a763c21a5,stgraph,smartbench,small,1,AgentOutlier,edgesDirection,3626,100,1
3932b102-b685-4a48-b0dd-1a8a763c21a5,stgraph,smartbench,small,1,AgentHistory,edgesDirection,22,1,1
c9a94c99-7884-4518-8201-03f8d6ab645d,stgraph,smartbench,small,1,EnvironmentCoverage,edgesDirection,1,10,1
c9a94c99-7884-4518-8201-03f8d6ab645d,stgraph,smartbench,small,1,EnvironmentAggregate,edgesDirection,1817,100,1
c9a94c99-7884-4518-8201-03f8d6ab645d,stgraph,smartbench,small,1,MaintenanceOwners,edgesDirection,1433,100,1
c9a94c99-7884-4518-8201-03f8d6ab645d,stgraph,smartbench,small,1,EnvironmentOutlier,edgesDirection,1586,8,1
c9a94c99-7884-4518-8201-03f8d6ab645d,stgraph,smartbench,small,1,AgentOutlier,edgesDirection,3698,100,1
c9a94c99-7884-4518-8201-03f8d6ab645d,stgraph,smartbench,small,1,AgentHistory,edgesDirection,23,1,1
ca037bfc-b756-4b01-b257-f7363fe9e47a,stgraph,smartbench,small,1,EnvironmentCoverage,edgesDirection,1,10,1
ca037bfc-b756-4b01-b257-f7363fe9e47a,stgraph,smartbench,small,1,EnvironmentAggregate,edgesDirection,1864,100,1
ca037bfc-b756-4b01-b257-f7363fe9e47a,stgraph,smartbench,small,1,MaintenanceOwners,edgesDirection,1472,100,1
ca037bfc-b756-4b01-b257-f7363fe9e47a,stgraph,smartbench,small,1,EnvironmentOutlier,edgesDirection,1590,8,1
ca037bfc-b756-4b01-b257-f7363fe9e47a,stgraph,smartbench,small,1,AgentOutlier,edgesDirection,3601,100,1
ca037bfc-b756-4b01-b257-f7363fe9e47a,stgraph,smartbench,small,1,AgentHistory,edgesDirection,18,1,1
a222d141-db1a-4a9a-8a5a-9454b0389fa1,stgraph,smartbench,small,1,EnvironmentCoverage,edgesDirection,2,10,1
a222d141-db1a-4a9a-8a5a-9454b0389fa1,stgraph,smartbench,small,1,EnvironmentAggregate,edgesDirection,1799,100,1
a222d141-db1a-4a9a-8a5a-9454b0389fa1,stgraph,smartbench,small,1,MaintenanceOwners,edgesDirection,1593,100,1
a222d141-db1a-4a9a-8a5a-9454b0389fa1,stgraph,smartbench,small,1,EnvironmentOutlier,edgesDirection,1548,8,1
a222d141-db1a-4a9a-8a5a-9454b0389fa1,stgraph,smartbench,small,1,AgentOutlier,edgesDirection,3632,100,1
a222d141-db1a-4a9a-8a5a-9454b0389fa1,stgraph,smartbench,small,1,AgentHistory,edgesDirection,19,1,1
90ca6d11-089b-401f-9b34-7915f5741082,stgraph,smartbench,small,1,EnvironmentCoverage,edgesDirection,1,10,1
90ca6d11-089b-401f-9b34-7915f5741082,stgraph,smartbench,small,1,EnvironmentAggregate,edgesDirection,1838,100,1
90ca6d11-089b-401f-9b34-7915f5741082,stgraph,smartbench,small,1,MaintenanceOwners,edgesDirection,1539,100,1
90ca6d11-089b-401f-9b34-7915f5741082,stgraph,smartbench,small,1,EnvironmentOutlier,edgesDirection,1584,8,1
90ca6d11-089b-401f-9b34-7915f5741082,stgraph,smartbench,small,1,AgentOutlier,edgesDirection,3705,100,1
